Sentence,Sentiment,Etiqueta
The presentation material can be viewed on the company 's website in English after the conference .,neutral,correcta
"End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www, Tallink claims the watertight doors of both Vana Tallinn and Regina Baltica, are fully in working order .",negative,incorrecta
"UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan, ''.",negative,incorrecta
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,positive,correcta
"but nearing breakout resistance line..., Glencore chief blames rivals' overproduction for share price fall.",positive,incorrecta
"000 versus a net profit of EUR 200, Britain's FTSE outperforms Europe.",negative,incorrecta
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,correcta
"co/JlgrprR54k, Starbucks shares down as much as ~4, co/LSahepdqhD    #stocktrading.",negative,incorrecta
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,positive,correcta
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,correcta
"The Finnish supplier of BSS-OSS and VAS for telecom operators, co/nJx4mnrGLo, Tecnotree, Academics claim Google Android two-factor authentication is breakable.",negative,incorrecta
"Feb. 6 - PRNewswire - -- Fiskars announces that the United States Patent and Trademark Office has granted a trademark registration for the color orange on its iconic scissor handles ., UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge, Wis.",negative,incorrecta
"$ISR- @IsoRay Up 6% and high on volume http://stks, co/iFpo #biotech, Small investors have voiced fears that the shares will end up with risk investors.",negative,incorrecta
The new activity will incur an investment of about 5 MEUR .,neutral,correcta
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",negative,correcta
"HK Ruokatalo produces many turkey products , such as cold cuts .",neutral,correcta
"3 million +ó  x201a -¼ 0, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs.",negative,incorrecta
"In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .",positive,correcta
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,positive,correcta
The Kyroskoski investment is to be completed in late 2011 and the +ä+ñnekoski investment in the spring of 2012 .,neutral,correcta
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7, 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 ., into earnings, May take a short pos.",positive,incorrecta
The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .,negative,correcta
"The EB Tough VoIP Field Phone is equipped with an integrated speaker , Ethernet and SHDSL connectivity , and enables several innovative applications .",neutral,correcta
"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .",positive,correcta
"CompaniesAB InBev signals it won't go hostile for SABMiller, Budapest.",positive,incorrecta
